2025-11-27 12:47:38 | PROCESS_STEP_STARTED | image_processor | HOME-PC | 0 | 0 | {"step": 1, "operation": "argument_parsing", "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 24}}
2025-11-27 12:47:38 | PROGRAM_INITIALIZATION_STARTED | image_processor | HOME-PC | 0 | 0 | {"program_start_timestamp": "2025-11-27T12:47:38.008060", "command_line_arguments": ["C:\\Users\\Timur\\PycharmProjects\\timp_5\\main.py"], "python_version": "3.12.3 (tags/v3.12.3:f6650f9, Apr  9 2024, 14:05:25) [MSC v.1938 64 bit (AMD64)]", "executable_path": "C:\\Users\\Timur\\PycharmProjects\\timp_5\\.venv\\Scripts\\python.exe", "caller_info": {"caller_function": "get_parse", "caller_filename": "arg_pars.py", "caller_line_number": 22}}
2025-11-27 12:47:59 | PROCESS_STEP_STARTED | image_processor | HOME-PC | 0 | 0 | {"step": 1, "operation": "argument_parsing", "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 24}}
2025-11-27 12:47:59 | PROGRAM_INITIALIZATION_STARTED | image_processor | HOME-PC | 0 | 0 | {"program_start_timestamp": "2025-11-27T12:47:59.961729", "command_line_arguments": ["main.py", "image.jpg", "inverted_image.jpg"], "python_version": "3.12.3 (tags/v3.12.3:f6650f9, Apr  9 2024, 14:05:25) [MSC v.1938 64 bit (AMD64)]", "executable_path": "C:\\Users\\Timur\\PycharmProjects\\timp_5\\.venv\\Scripts\\python.exe", "caller_info": {"caller_function": "get_parse", "caller_filename": "arg_pars.py", "caller_line_number": 22}}
2025-11-27 12:47:59 | ARGUMENT_PARSING_COMPLETED | image_processor | HOME-PC | 0 | 0 | {"parsed_arguments": {"input_image_path": "image.jpg", "output_image_path": "inverted_image.jpg", "arguments_count": 2, "input_file_extension": ".jpg", "output_file_extension": ".jpg"}, "parsing_duration_ms": 1.72, "caller_info": {"caller_function": "get_parse", "caller_filename": "arg_pars.py", "caller_line_number": 40}}
2025-11-27 12:47:59 | PROCESS_STEP_STARTED | image_processor | HOME-PC | 0 | 0 | {"step": 2, "operation": "path_validation", "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 27}}
2025-11-27 12:47:59 | PATH_VALIDATION_STARTED | image_processor | HOME-PC | 0 | 0 | {"validation_parameters": {"input_path": "image.jpg", "output_path": "inverted_image.jpg"}, "caller_info": {"caller_function": "validate_paths", "caller_filename": "arg_pars.py", "caller_line_number": 78}}
2025-11-27 12:47:59 | PATH_VALIDATION_COMPLETED | image_processor | HOME-PC | 0 | 0 | {"validation_duration_ms": 0.0, "validation_result": "SUCCESS", "caller_info": {"caller_function": "validate_paths", "caller_filename": "arg_pars.py", "caller_line_number": 97}}
2025-11-27 12:47:59 | PROCESS_STEP_STARTED | image_processor | HOME-PC | 0 | 0 | {"step": 3, "operation": "image_reading", "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 30}}
2025-11-27 12:47:59 | APPLICATION_FAILED | image_processor | HOME-PC | 0 | 0 | {"error_analysis": {"error_type": "FileNotFoundError", "error_message": "[WinError 2] Не удается найти указанный файл: 'image.jpg'", "failure_timestamp": "2025-11-27T12:47:59.964758", "program_duration_at_failure_ms": 3.75}, "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 57}}
2025-11-27 12:49:22 | PROCESS_STEP_STARTED | image_processor | HOME-PC | 0 | 0 | {"step": 1, "operation": "argument_parsing", "caller_info": {"caller_function": "<module>", "caller_filename": "main.py", "caller_line_number": 24}}
